loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),label
2026-05-26T15:47:11.633+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3261.943431375,-0.2723541259765625,-0.293487548828125,-0.9375,3261.933355375,0.005292026436458196,0.01772633598294629,-0.008315640779225366,-0.02009388618171215,0.1936473846435547,-0.02555124834179878,-0.01240229606628418,0.006462633609771729,-0.007987380027770996,XArbitraryZVertical,-0.004181081898986454,0.008851942787320665,0.002609032486257623,0.9999487162144679,-0.2796814441680908,-0.2532887756824493,-0.9260794520378113,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.643+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3261.953506375,-0.2717742919921875,-0.3024139404296875,-0.940948486328125,3261.943431375,0.005059575004999211,0.01966398507535707,-0.009076407745758354,-0.1340476274490356,0.193439394235611,-0.01938736066222191,0.002721250057220459,-0.03013432025909424,-0.007728338241577148,XArbitraryZVertical,-0.00456282706747314,0.009820222344265689,0.002485018154241956,0.9999381800013925,-0.2778219878673553,-0.2526567876338959,-0.9268114566802979,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.653+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3261.963582375,-0.2721405029296875,-0.2865753173828125,-0.949310302734375,3261.953506375,0.004892518172642585,0.02151715377220733,-0.01082498100203138,-0.1982851475477219,0.1753432005643845,-0.02304741181433201,0.004673361778259277,-0.05215799808502197,-0.01216155290603638,XArbitraryZVertical,-0.005438452066438107,0.01074494020307864,0.002387850162171323,0.9999246175706086,-0.2760509252548218,-0.2510951459407806,-0.9277645945549011,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.663+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3261.973657375,-0.2691802978515625,-0.243316650390625,-0.949493408203125,3261.963582375,0.004783328213823991,0.02330593113910493,-0.01296125616772182,-0.2225550711154938,0.1798511445522308,-0.00167687505017966,0.002514660358428955,-0.04513813555240631,-0.01603341102600098,XArbitraryZVertical,-0.006507992683623297,0.01163692508115308,0.002315933063360807,0.9999084648683522,-0.2743499875068665,-0.24915811419487,-0.928790807723999,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.674+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3261.983733375,-0.2609710693359375,-0.1960296630859375,-0.9384002685546875,3261.973657375,0.004986054401679285,0.02516183016478369,-0.01489416115121683,-0.1487590819597244,0.18869948387146,0.0219865757972002,0.001624733209609985,-0.01682969927787781,-0.0230259895324707,XArbitraryZVertical,-0.007477762741597312,0.01256163222683142,0.002399070931209154,0.9998901737441663,-0.2726665735244751,-0.2473151683807373,-0.929778516292572,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.683+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3261.993809375,-0.2580718994140625,-0.19281005859375,-0.927764892578125,3261.983733375,0.005225168696989785,0.02707715144356746,-0.01606285072855202,-0.08734019100666046,0.1925666630268097,0.01902966760098934,0.006596595048904419,0.03742574155330658,-0.01106244325637817,XArbitraryZVertical,-0.008065944704480266,0.01351669988435296,0.002503528695122934,0.9998728901121995,-0.2709398567676544,-0.2461659759283066,-0.9305879473686218,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.693+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.003884375,-0.254241943359375,-0.2170562744140625,-0.9194793701171875,3261.993809375,0.005448676038901363,0.02895581961658974,-0.01646382041884942,-0.0009210436837747693,0.1835388243198395,0.0178771186619997,0.01085421442985535,0.05569678544998169,-0.002094089984893799,XArbitraryZVertical,-0.008270364760485378,0.01445443733974366,0.002604782168112958,0.999857833107157,-0.2692465782165527,-0.2457297295331955,-0.9311944842338562,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.703+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.013960375,-0.25384521484375,-0.2250823974609375,-0.9101715087890625,3262.003884375,0.005529352688354586,0.03079559977163527,-0.01644132311354992,0.003224699292331934,0.1848443001508713,-0.002636678284034133,0.01123699545860291,0.03941255807876587,0.0101894736289978,XArbitraryZVertical,-0.008262130455612138,0.01537388902744635,0.002637678674607697,0.9998441226697252,-0.2675541639328003,-0.245726615190506,-0.9316830039024353,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.713+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.024035375,-0.2520751953125,-0.23248291015625,-0.9084014892578125,3262.013960375,0.005488800631638874,0.03263089600364501,-0.01629416367514635,0.02078222669661045,0.1776644289493561,0.00109760626219213,0.01285898685455322,0.02067005634307861,0.01721912622451782,XArbitraryZVertical,-0.008190649330821117,0.01629176572377862,0.002611025124767752,0.9998303203038837,-0.2658344209194183,-0.2458744943141937,-0.9321361184120178,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
2026-05-26T15:47:11.723+02:00,1779803230.999495,53.23610689089494,10.40155555272634,22.91459,0,0.188298,234.5376105425829,180,16.78839530571731,2.746852437839412,-9999,3262.034111375,-0.2499542236328125,-0.2540130615234375,-0.91802978515625,3262.024035375,0.005438597418401776,0.03432338715700189,-0.01599761432620603,0.03814896568655968,0.1678666472434998,-0.01304803974926472,0.01069051027297974,0.01917330920696259,0.02591067552566528,XArbitraryZVertical,-0.008044178462749697,0.01713849129267258,0.00258154360453188,0.9998174190972082,-0.2642458081245422,-0.2461630403995514,-0.9325116276741028,0,0,0,-1,-1,2026-05-26T14:10:01.685+02:00,1475,1.083488,0,0,1181.784,0,0,2026-05-26T15:38:17.271+02:00,801496031.2906098,0,0.8600006,102.2521,0
