feature,importance
motionGravityZ(G)__std,0.03744238434770164
motionRotationRateY(rad/s)__max,0.037123545029288316
motionRotationRateY(rad/s)__mean,0.030800412897388694
motionGravityY(G)__energy,0.024588940594519597
motionPitch(rad)__energy,0.02419922074583864
motionUserAccelerationX(G)__mean,0.02336062690149313
motionGravityX(G)__mean,0.02330616821036118
motionRotationRateY(rad/s)__min,0.021374732379737683
motionGravityX(G)__min,0.02064420662286491
motionRotationRateZ(rad/s)__mean,0.019506474531699756
motionUserAccelerationZ(G)__energy,0.01924540052078929
motionRotationRateY(rad/s)__std,0.019074460728677203
motionUserAccelerationX(G)__energy,0.019019252798456024
motionGravityY(G)__std,0.018939916633273893
motionRotationRateY(rad/s)__energy,0.017653333944981288
motionQuaternionW(R)__std,0.017176491651444147
motionPitch(rad)__std,0.017163914816104898
motionUserAccelerationZ(G)__std,0.017033247830775464
motionRotationRateZ(rad/s)__median,0.016985154340678443
motionGravityZ(G)__energy,0.016417567495695708
