feature,importance
motionGravityZ(G)__std,0.14194316564265852
motionRotationRateY(rad/s)__energy,0.12348584237534474
motionGravityY(G)__energy,0.0812223336650492
motionRotationRateY(rad/s)__mean,0.07334583794098837
motionPitch(rad)__energy,0.051820379929261404
motionUserAccelerationX(G)__mean,0.04564703066560155
motionRotationRateY(rad/s)__std,0.04415056892539847
motionGravityX(G)__max,0.03608268982058846
motionRotationRateY(rad/s)__max,0.027557044488152438
motionRotationRateZ(rad/s)__mean,0.020297336424768195
motionRotationRateZ(rad/s)__median,0.018076337637124143
motionUserAccelerationX(G)__energy,0.01572546397866551
motionUserAccelerationZ(G)__energy,0.014420759738208527
motionGravityX(G)__mean,0.01306991691997597
motionRotationRateY(rad/s)__min,0.010719573116858587
motionGravityY(G)__min,0.01011659764520056
motionQuaternionW(R)__energy,0.009517854522420634
motionGravityX(G)__min,0.009174685059824023
motionRoll(rad)__mean,0.008858544268841285
motionRoll(rad)__max,0.008798558978190115
