search_rank,candidate_rank_seed_order,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,event_count,feature_count,session_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,9,600,10,3,log2,12.0,entropy,balanced_subsample,377.0,164.0,3.0,0.9575596816976127,0.9521211614090871,0.9559417911629887,0.9521211614090871,0.9530656251878663,0.9577718903274515
2,12,800,4,3,log2,12.0,gini,balanced,377.0,164.0,3.0,0.9549071618037135,0.9569199230189943,0.9483463690780765,0.9569199230189943,0.9516470288853643,0.9554074692938961
3,7,300,4,4,log2,8.0,gini,balanced,377.0,164.0,3.0,0.9522546419098143,0.9503409756505732,0.9467159987736171,0.9503409756505732,0.9475904626982762,0.9527574254981946
4,4,300,6,4,sqrt,8.0,entropy,balanced_subsample,377.0,164.0,3.0,0.9416445623342176,0.9432976319973224,0.936644225998664,0.9432976319973224,0.9382470599575864,0.9427764984794162
5,11,200,4,1,log2,,entropy,balanced,377.0,164.0,3.0,0.946949602122016,0.9258053719354029,0.9503590744610859,0.9258053719354029,0.9359369545057605,0.9468654674734871
6,10,400,2,1,sqrt,8.0,entropy,,377.0,164.0,3.0,0.9442970822281167,0.9294431428332357,0.9418541303354888,0.9294431428332357,0.9341924034403766,0.9445176101354795
7,13,800,4,4,0.5,8.0,gini,,377.0,164.0,3.0,0.9416445623342176,0.9281043427328257,0.9396406371406372,0.9281043427328257,0.933157154603679,0.9414716297271568
8,1,200,6,4,0.5,12.0,gini,,377.0,164.0,3.0,0.9363395225464191,0.9267885532591416,0.9367153909028286,0.9267885532591416,0.9307591384802063,0.935812937200093
9,14,600,6,2,0.5,12.0,entropy,balanced,377.0,164.0,3.0,0.9389920424403183,0.9448958246171868,0.9132507322547974,0.9448958246171868,0.926392201846478,0.9400093676507939
10,2,200,2,4,0.5,12.0,gini,balanced,377.0,164.0,3.0,0.9230769230769231,0.9267341645050624,0.9213982863760737,0.9267341645050624,0.9214211021528095,0.9248391531059578
11,15,300,6,2,0.5,8.0,entropy,balanced_subsample,377.0,164.0,3.0,0.9310344827586207,0.9404840599113045,0.899084840403349,0.9404840599113045,0.9152504375292708,0.9327698808368059
12,8,300,4,2,0.75,16.0,gini,balanced_subsample,377.0,164.0,3.0,0.9098143236074271,0.92216760103757,0.9088943353815317,0.92216760103757,0.9117852088006132,0.9122154074602804
13,6,200,4,2,0.5,24.0,entropy,balanced_subsample,377.0,164.0,3.0,0.9204244031830239,0.9288783365408753,0.8874748035066938,0.9288783365408753,0.9030900199907825,0.9224831108590286
14,16,300,6,1,0.75,,entropy,balanced_subsample,377.0,164.0,3.0,0.9177718832891246,0.9230461886034641,0.887021514071461,0.9230461886034641,0.9008429903551974,0.9195986041966226
15,5,800,6,3,0.75,12.0,entropy,balanced_subsample,377.0,164.0,3.0,0.9177718832891246,0.9242071793155384,0.8858041512059369,0.9242071793155384,0.9007436881942252,0.9197521256155591
16,3,200,6,2,0.75,8.0,entropy,balanced_subsample,377.0,164.0,3.0,0.9177718832891246,0.9242071793155384,0.8848601121979287,0.9242071793155384,0.8998568130679993,0.919953831070115
