video_time_s,csv_time_s,label,label_name,note
30.536,44.614,1,Vorhand,
35.618,49.696,1,Vorhand,
50.014,64.092,1,Vorhand,
58.384,72.462,2,Rueckhand,
86.471,100.549,1,Vorhand,
90.943,105.021,1,Vorhand,
104.279,118.357,1,Vorhand,
108.684,122.762,1,Vorhand,
196.710,210.788,1,Vorhand,
202.648,216.726,1,Vorhand,
220.118,234.196,1,Vorhand,
225.375,239.453,1,Vorhand,
233.550,247.628,1,Vorhand,
246.363,260.441,1,Vorhand,
292.005,306.083,1,Vorhand,
384.273,398.351,2,Rueckhand,
394.059,408.137,2,Rueckhand,
400.465,414.543,2,Rueckhand,
448.998,463.076,1,Vorhand,
459.493,473.571,2,Rueckhand,
490.999,505.077,1,Vorhand,
