video_time_s,csv_time_s,label,label_name,note
22.812,18.866,6,Aufschlag von unten,
26.245,22.299,1,Vorhand,
31.245,27.299,1,Vorhand,
44.745,40.799,1,Vorhand,
48.179,44.233,1,Vorhand,
52.379,48.433,1,Vorhand,
60.945,56.999,1,Vorhand,
69.279,65.333,6,Aufschlag von unten,
73.112,69.166,1,Vorhand,
76.879,72.933,10,Unsicher,
80.079,76.133,2,Rueckhand,
95.745,91.799,1,Vorhand,
99.079,95.133,10,Unsicher,
111.779,107.833,6,Aufschlag von unten,
115.345,111.399,2,Rueckhand,
118.412,114.466,6,Aufschlag von unten,
122.112,118.166,1,Vorhand,
125.745,121.799,4,Slice Rueckhand,
129.912,125.966,6,Aufschlag von unten,
133.745,129.799,2,Rueckhand,
137.145,133.199,10,Unsicher,
162.012,158.066,1,Vorhand,
166.479,162.533,1,Vorhand,
174.079,170.133,2,Rueckhand,
177.312,173.366,1,Vorhand,
181.312,177.366,6,Aufschlag von unten,
184.812,180.866,2,Rueckhand,
188.845,184.899,1,Vorhand,
193.712,189.766,6,Aufschlag von unten,
201.312,197.366,1,Vorhand,
205.412,201.466,2,Rueckhand,
242.279,238.333,6,Aufschlag von unten,
245.945,241.999,1,Vorhand,
249.137,245.191,2,Rueckhand,
254.064,250.118,1,Vorhand,
258.608,254.662,6,Aufschlag von unten,
261.983,258.037,2,Rueckhand,
265.248,261.302,2,Rueckhand,
276.848,272.902,1,Vorhand,
280.270,276.324,1,Vorhand,
288.834,284.888,10,Unsicher,
292.743,288.797,6,Aufschlag von unten,
296.722,292.776,1,Vorhand,
300.470,296.524,2,Rueckhand,
305.822,301.876,1,Vorhand,
315.289,311.343,1,Vorhand,
323.613,319.667,2,Rueckhand,
327.828,323.882,1,Vorhand,
354.662,350.716,2,Rueckhand,
358.998,355.052,2,Rueckhand,
372.418,368.472,2,Rueckhand,
383.118,379.172,1,Vorhand,
387.098,383.152,1,Vorhand,
391.854,387.908,6,Aufschlag von unten,
395.320,391.374,2,Rueckhand,
398.957,395.011,10,Unsicher,
435.590,431.644,2,Rueckhand,
439.349,435.403,4,Slice Rueckhand,
450.160,446.214,6,Aufschlag von unten,
454.049,450.103,1,Vorhand,
457.696,453.750,1,Vorhand,
460.971,457.025,1,Vorhand,
464.800,460.854,2,Rueckhand,
470.805,466.859,6,Aufschlag von unten,
474.183,470.237,1,Vorhand,
477.464,473.518,1,Vorhand,
480.356,476.410,4,Slice Rueckhand,
485.202,481.256,1,Vorhand,
488.608,484.662,1,Vorhand,
496.033,492.087,1,Vorhand,
505.011,501.065,2,Rueckhand,
508.779,504.833,2,Rueckhand,
511.912,507.966,7,Kein Schlag / Other,
526.703,522.757,6,Aufschlag von unten,
530.381,526.435,1,Vorhand,
545.141,541.195,2,Rueckhand,
570.219,566.273,6,Aufschlag von unten,
574.975,571.029,6,Aufschlag von unten,
578.491,574.545,1,Vorhand,
582.108,578.162,2,Rueckhand,
584.929,580.983,7,Kein Schlag / Other,
589.584,585.638,1,Vorhand,
605.725,601.779,6,Aufschlag von unten,
609.131,605.185,1,Vorhand,
615.438,611.492,6,Aufschlag von unten,
619.498,615.552,4,Slice Rueckhand,
623.972,620.026,1,Vorhand,
627.569,623.623,7,Kein Schlag / Other,
629.869,625.923,7,Kein Schlag / Other,
638.102,634.156,2,Rueckhand,
642.148,638.202,1,Vorhand,
646.279,642.333,1,Vorhand,
