video_time_s,csv_time_s,label,label_name,note
51.273,46.442,5,Aufschlag,
59.902,55.071,5,Aufschlag,
63.798,58.967,2,Rueckhand,
66.563,61.732,2,Rueckhand,
80.116,75.285,5,Aufschlag,
95.951,91.120,10,Unsicher,
127.710,122.879,5,Aufschlag,
131.534,126.703,1,Vorhand,
134.667,129.836,4,Slice Rueckhand,
145.644,140.813,5,Aufschlag,
154.433,149.602,5,Aufschlag,
169.406,164.575,5,Aufschlag,
172.591,167.760,9,Schwung ohne Ball,
191.979,187.148,5,Aufschlag,
196.830,191.999,1,Vorhand,
201.646,196.815,5,Aufschlag,
213.199,208.368,5,Aufschlag,
217.332,212.501,2,Rueckhand,
228.387,223.556,5,Aufschlag,
268.883,264.052,5,Aufschlag,
277.322,272.491,5,Aufschlag,
288.879,284.048,5,Aufschlag,
302.038,297.207,6,Aufschlag von unten,
314.484,309.653,1,Vorhand,
318.698,313.867,4,Slice Rueckhand,
346.783,341.952,4,Slice Rueckhand,
351.512,346.681,1,Vorhand,
352.205,347.374,7,Kein Schlag / Other,
356.229,351.398,10,Unsicher,
375.503,370.672,10,Unsicher,
378.973,374.142,3,Slice Vorhand,
384.300,379.469,9,Schwung ohne Ball,
400.419,395.588,7,Kein Schlag / Other,
409.607,404.776,6,Aufschlag von unten,
413.686,408.855,6,Aufschlag von unten,
418.637,413.806,1,Vorhand,
422.405,417.574,7,Kein Schlag / Other,
422.814,417.983,7,Kein Schlag / Other,
429.004,424.173,6,Aufschlag von unten,
433.166,428.335,1,Vorhand,
445.004,440.173,6,Aufschlag von unten,
466.891,462.060,6,Aufschlag von unten,
471.493,466.662,2,Rueckhand,
480.231,475.400,6,Aufschlag von unten,
490.556,485.725,7,Kein Schlag / Other,
505.606,500.775,6,Aufschlag von unten,
510.800,505.969,9,Schwung ohne Ball,
519.104,514.273,6,Aufschlag von unten,
523.937,519.106,2,Rueckhand,
537.337,532.506,6,Aufschlag von unten,
542.243,537.412,2,Rueckhand,
564.748,559.917,6,Aufschlag von unten,
569.938,565.107,10,Unsicher,
585.274,580.443,1,Vorhand,
589.832,585.001,2,Rueckhand,
613.560,608.729,10,Unsicher,
616.101,611.270,2,Rueckhand,
636.350,631.519,6,Aufschlag von unten,
684.208,679.377,6,Aufschlag von unten,
690.664,685.833,6,Aufschlag von unten,
695.547,690.716,2,Rueckhand,
711.749,706.918,2,Rueckhand,
718.233,713.402,9,Schwung ohne Ball,
727.933,723.102,6,Aufschlag von unten,
732.566,727.735,2,Rueckhand,
766.049,761.218,10,Unsicher,
779.003,774.172,6,Aufschlag von unten,
783.363,778.532,2,Rueckhand,
787.230,782.399,10,Unsicher,
795.762,790.931,6,Aufschlag von unten,
799.168,794.337,2,Rueckhand,
802.307,797.476,2,Rueckhand,
809.680,804.849,6,Aufschlag von unten,
813.293,808.462,1,Vorhand,
817.024,812.193,2,Rueckhand,
827.775,822.944,2,Rueckhand,
834.094,829.263,7,Kein Schlag / Other,
842.350,837.519,9,Schwung ohne Ball,
850.757,845.926,10,Unsicher,
862.679,857.848,7,Kein Schlag / Other,
865.529,860.698,6,Aufschlag von unten,
875.276,870.445,1,Vorhand,
878.050,873.219,2,Rueckhand,
881.871,877.040,10,Unsicher,
886.146,881.315,1,Vorhand,
895.184,890.353,1,Vorhand,
899.031,894.200,2,Rueckhand,
902.994,898.163,2,Rueckhand,
912.155,907.324,7,Kein Schlag / Other,
927.634,922.803,6,Aufschlag von unten,
931.885,927.054,1,Vorhand,
936.292,931.461,7,Kein Schlag / Other,
943.749,938.918,6,Aufschlag von unten,
951.438,946.607,7,Kein Schlag / Other,
959.095,954.264,6,Aufschlag von unten,
963.985,959.154,1,Vorhand,
983.547,978.716,2,Rueckhand,
993.032,988.201,7,Kein Schlag / Other,
997.469,992.638,6,Aufschlag von unten,
1005.825,1000.994,7,Kein Schlag / Other,
1012.671,1007.840,6,Aufschlag von unten,
1025.626,1020.795,5,Aufschlag,
1036.735,1031.904,6,Aufschlag von unten,
1040.726,1035.895,1,Vorhand,
1044.667,1039.836,1,Vorhand,
1050.610,1045.779,7,Kein Schlag / Other,
1058.873,1054.042,6,Aufschlag von unten,
1063.301,1058.470,1,Vorhand,
1070.904,1066.073,7,Kein Schlag / Other,
1075.480,1070.649,9,Schwung ohne Ball,
1080.934,1076.103,9,Schwung ohne Ball,
1097.596,1092.765,6,Aufschlag von unten,
1121.870,1117.039,5,Aufschlag,
1128.116,1123.285,7,Kein Schlag / Other,
1138.298,1133.467,5,Aufschlag,
1145.533,1140.702,5,Aufschlag,
1170.922,1166.091,5,Aufschlag,
1185.168,1180.337,1,Vorhand,
1209.809,1204.978,5,Aufschlag,
1221.344,1216.513,7,Kein Schlag / Other,
1223.429,1218.598,9,Schwung ohne Ball,
1229.185,1224.354,5,Aufschlag,
1239.142,1234.311,5,Aufschlag,
1242.064,1237.233,1,Vorhand,
1249.127,1244.296,1,Vorhand,
1253.982,1249.151,2,Rueckhand,
1259.154,1254.323,7,Kein Schlag / Other,
1276.091,1271.260,6,Aufschlag von unten,
1279.598,1274.767,1,Vorhand,
1304.415,1299.584,6,Aufschlag von unten,
1308.609,1303.778,4,Slice Rueckhand,
1334.896,1330.065,6,Aufschlag von unten,
1339.239,1334.408,1,Vorhand,
1343.500,1338.669,2,Rueckhand,
1348.266,1343.435,1,Vorhand,
1356.171,1351.340,2,Rueckhand,
1362.943,1358.112,7,Kein Schlag / Other,
1404.402,1399.571,6,Aufschlag von unten,
1416.402,1411.571,6,Aufschlag von unten,
1420.675,1415.844,2,Rueckhand,
1432.273,1427.442,6,Aufschlag von unten,
1441.903,1437.072,6,Aufschlag von unten,
1445.409,1440.578,2,Rueckhand,
1458.738,1453.907,6,Aufschlag von unten,
