video_time_s,csv_time_s,label,label_name,note
84.181,94.837,6,Aufschlag von unten,
91.020,101.676,6,Aufschlag von unten,
97.483,108.139,1,Vorhand,
103.053,113.709,8,Schlaeger drehen,
126.232,136.888,6,Aufschlag von unten,
130.786,141.442,1,Vorhand,
134.831,145.487,2,Rueckhand,
139.156,149.812,8,Schlaeger drehen,
142.259,152.915,6,Aufschlag von unten,
147.123,157.779,2,Rueckhand,
151.920,162.576,6,Aufschlag von unten,
157.994,168.650,1,Vorhand,
163.292,173.948,6,Aufschlag von unten,
166.690,177.346,10,Unsicher,
174.790,185.446,8,Schlaeger drehen,
197.123,207.779,6,Aufschlag von unten,
209.590,220.246,6,Aufschlag von unten,
213.823,224.479,2,Rueckhand,
217.623,228.279,2,Rueckhand,
221.757,232.413,6,Aufschlag von unten,
226.057,236.713,6,Aufschlag von unten,
230.057,240.713,1,Vorhand,
247.190,257.846,8,Schlaeger drehen,
249.023,259.679,8,Schlaeger drehen,
252.323,262.979,2,Rueckhand,
255.690,266.346,8,Schlaeger drehen,
257.190,267.846,10,Unsicher,
260.390,271.046,6,Aufschlag von unten,
265.457,276.113,1,Vorhand,
268.390,279.046,10,Unsicher,
271.890,282.546,6,Aufschlag von unten,
276.023,286.679,10,Unsicher,
278.290,288.946,8,Schlaeger drehen,
281.023,291.679,8,Schlaeger drehen,
291.257,301.913,6,Aufschlag von unten,
295.457,306.113,1,Vorhand,
299.890,310.546,4,Slice Rueckhand,
303.690,314.346,10,Unsicher,
308.323,318.979,1,Vorhand,
311.257,321.913,10,Unsicher,
317.157,327.813,8,Schlaeger drehen,
