video_time_s,csv_time_s,label,label_name,note
62.034,60.828,5,Aufschlag,
67.555,66.349,5,Aufschlag,
80.588,79.382,5,Aufschlag,
85.755,84.549,5,Aufschlag,
90.955,89.749,5,Aufschlag,
111.888,110.682,5,Aufschlag,
117.288,116.082,5,Aufschlag,
123.488,122.282,5,Aufschlag,
137.788,136.582,5,Aufschlag,
142.655,141.449,5,Aufschlag,
147.555,146.349,5,Aufschlag,
163.088,161.882,5,Aufschlag,
170.321,169.115,5,Aufschlag,
175.321,174.115,5,Aufschlag,
191.821,190.615,5,Aufschlag,
196.288,195.082,5,Aufschlag,
201.121,199.915,5,Aufschlag,
212.721,211.515,5,Aufschlag,
216.888,215.682,5,Aufschlag,
231.388,230.182,5,Aufschlag,
235.888,234.682,5,Aufschlag,
257.888,256.682,5,Aufschlag,
262.821,261.615,5,Aufschlag,
278.355,277.149,5,Aufschlag,
283.455,282.249,5,Aufschlag,
289.155,287.949,5,Aufschlag,
307.988,306.782,5,Aufschlag,
312.355,311.149,5,Aufschlag,
318.255,317.049,5,Aufschlag,
333.455,332.249,5,Aufschlag,
338.521,337.315,5,Aufschlag,
343.755,342.549,5,Aufschlag,
356.588,355.382,5,Aufschlag,
361.555,360.349,5,Aufschlag,
366.788,365.582,5,Aufschlag,
387.821,386.615,5,Aufschlag,
393.055,391.849,5,Aufschlag,
399.021,397.815,5,Aufschlag,
413.421,412.215,5,Aufschlag,
418.221,417.015,5,Aufschlag,
423.388,422.182,5,Aufschlag,
441.855,440.649,5,Aufschlag,
446.455,445.249,5,Aufschlag,
452.855,451.649,5,Aufschlag,
458.043,456.837,5,Aufschlag,
474.124,472.918,5,Aufschlag,
478.699,477.493,5,Aufschlag,
483.978,482.772,5,Aufschlag,
