video_time_s,csv_time_s,label,label_name,note
50.251,69.565,1,Vorhand,
52.760,72.074,1,Vorhand,
55.302,74.616,1,Vorhand,
57.669,76.983,1,Vorhand,
62.035,81.349,8,Schlaeger drehen,
72.169,91.483,8,Schlaeger drehen,
78.102,97.416,1,Vorhand,
80.360,99.674,1,Vorhand,
123.936,143.250,8,Schlaeger drehen,
131.903,151.217,1,Vorhand,
134.270,153.584,1,Vorhand,
136.203,155.517,1,Vorhand,
138.136,157.450,1,Vorhand,
140.203,159.517,1,Vorhand,
141.636,160.950,8,Schlaeger drehen,
143.236,162.550,1,Vorhand,
157.970,177.284,1,Vorhand,
160.136,179.450,1,Vorhand,
162.336,181.650,1,Vorhand,
166.070,185.384,8,Schlaeger drehen,
185.450,204.764,8,Schlaeger drehen,
222.050,241.364,1,Vorhand,
227.317,246.631,1,Vorhand,
229.750,249.064,1,Vorhand,
231.850,251.164,1,Vorhand,
233.983,253.297,1,Vorhand,
236.083,255.397,1,Vorhand,
240.617,259.931,8,Schlaeger drehen,
244.750,264.064,8,Schlaeger drehen,
274.217,293.531,9,Schwung ohne Ball,
292.850,312.164,1,Vorhand,
295.117,314.431,1,Vorhand,
298.250,317.564,1,Vorhand,
306.150,325.464,1,Vorhand,
310.083,329.397,1,Vorhand,
320.550,339.864,1,Vorhand,
327.417,346.731,8,Schlaeger drehen,
338.211,357.525,8,Schlaeger drehen,
338.978,358.292,8,Schlaeger drehen,
374.611,393.925,1,Vorhand,
378.578,397.892,1,Vorhand,
382.278,401.592,1,Vorhand,
386.145,405.459,1,Vorhand,
389.778,409.092,1,Vorhand,
393.245,412.559,1,Vorhand,
396.745,416.059,10,Unsicher,
400.178,419.492,8,Schlaeger drehen,
410.545,429.859,1,Vorhand,
413.978,433.292,1,Vorhand,
417.845,437.159,1,Vorhand,
463.051,482.365,1,Vorhand,
466.618,485.932,1,Vorhand,
470.051,489.365,1,Vorhand,
473.351,492.665,1,Vorhand,
476.584,495.898,1,Vorhand,
480.018,499.332,1,Vorhand,
483.584,502.898,1,Vorhand,
486.951,506.265,1,Vorhand,
488.684,507.998,8,Schlaeger drehen,
493.184,512.498,1,Vorhand,
