video_time_s,csv_time_s,label,label_name,note
23.776,38.386,1,Vorhand,
34.243,48.853,1,Vorhand,
41.473,56.083,1,Vorhand,
44.837,59.447,2,Rueckhand,
48.763,63.373,1,Vorhand,
51.952,66.562,2,Rueckhand,
54.985,69.595,1,Vorhand,
60.704,75.314,1,Vorhand,
67.495,82.105,1,Vorhand,
71.161,85.771,2,Rueckhand,
74.943,89.553,1,Vorhand,
77.998,92.608,2,Rueckhand,
82.357,96.967,1,Vorhand,
89.771,104.381,1,Vorhand,
112.000,126.610,7,Kein Schlag / Other,
129.576,144.186,1,Vorhand,
132.599,147.209,7,Kein Schlag / Other,
135.190,149.800,2,Rueckhand,
139.136,153.746,1,Vorhand,
142.332,156.942,2,Rueckhand,
146.463,161.073,1,Vorhand,
154.255,168.865,1,Vorhand,
158.644,173.254,1,Vorhand,
187.096,201.706,1,Vorhand,
191.294,205.904,1,Vorhand,
194.253,208.863,7,Kein Schlag / Other,
196.984,211.594,1,Vorhand,
200.611,215.221,1,Vorhand,
228.834,243.444,2,Rueckhand,
233.517,248.127,1,Vorhand,
237.398,252.008,2,Rueckhand,
240.229,254.839,7,Kein Schlag / Other,
242.748,257.358,2,Rueckhand,
244.401,259.011,7,Kein Schlag / Other,
250.943,265.553,1,Vorhand,
263.283,277.893,1,Vorhand,
266.810,281.420,1,Vorhand,
270.527,285.137,2,Rueckhand,
274.155,288.765,1,Vorhand,
277.349,291.959,1,Vorhand,
280.785,295.395,1,Vorhand,
288.019,302.629,1,Vorhand,
290.847,305.457,2,Rueckhand,
294.246,308.856,1,Vorhand,
304.282,318.892,2,Rueckhand,
308.796,323.406,1,Vorhand,
311.929,326.539,2,Rueckhand,
337.794,352.404,1,Vorhand,
351.006,365.616,1,Vorhand,
354.328,368.938,1,Vorhand,
372.787,387.397,1,Vorhand,
376.062,390.672,2,Rueckhand,
380.022,394.632,1,Vorhand,
383.065,397.675,1,Vorhand,
390.181,404.791,1,Vorhand,
393.524,408.134,1,Vorhand,
396.811,411.421,1,Vorhand,
405.208,419.818,1,Vorhand,
434.881,449.491,1,Vorhand,
438.504,453.114,7,Kein Schlag / Other,
441.858,456.468,1,Vorhand,
445.042,459.652,2,Rueckhand,
448.796,463.406,2,Rueckhand / Intensiv,
458.594,473.204,1,Vorhand,
485.447,500.057,1,Vorhand,
491.472,506.082,2,Rueckhand,
496.520,511.130,1,Vorhand,
499.801,514.411,1,Vorhand,
502.888,517.498,1,Vorhand,
522.496,537.106,2,Rueckhand,
542.255,556.865,2,Rueckhand,
546.436,561.046,1,Vorhand,
578.417,593.027,2,Rueckhand,
594.239,608.849,1,Vorhand,
597.606,612.216,1,Vorhand,
607.647,622.257,1,Vorhand,
615.104,629.714,1,Vorhand,
642.590,657.200,1,Vorhand,
645.644,660.254,2,Rueckhand,
659.115,673.725,2,Rueckhand,
682.501,697.111,1,Vorhand,
689.373,703.983,1,Vorhand,
692.049,706.659,1,Vorhand,
704.727,719.337,1,Vorhand,
711.651,726.261,1,Vorhand,
719.266,733.876,1,Vorhand,
