video_time_s,csv_time_s,label,label_name,note
14.034,10.140,1,Vorhand,
21.130,17.236,8,Schlaeger drehen,
29.342,25.448,1,Vorhand,
39.000,35.106,9,Schwung ohne Ball,
46.591,42.697,9,Schwung ohne Ball,
48.605,44.711,8,Schlaeger drehen,
51.798,47.904,9,Schwung ohne Ball,
53.965,50.071,9,Schwung ohne Ball,
62.745,58.851,9,Schwung ohne Ball,
65.383,61.489,8,Schlaeger drehen,
93.078,89.184,8,Schlaeger drehen,
102.648,98.754,6,Aufschlag von unten,
107.270,103.376,3,Slice Vorhand,
111.674,107.780,6,Aufschlag von unten,
116.349,112.455,1,Vorhand,
121.073,117.179,8,Schlaeger drehen,
124.450,120.556,2,Rueckhand,
130.271,126.377,6,Aufschlag von unten,
135.227,131.333,6,Aufschlag von unten,
139.025,135.131,2,Rueckhand,
141.930,138.036,8,Schlaeger drehen,
146.127,142.233,1,Vorhand,
151.222,147.328,10,Unsicher,
160.433,156.539,6,Aufschlag von unten,
164.301,160.407,9,Schwung ohne Ball,
166.238,162.344,8,Schlaeger drehen,
167.653,163.759,8,Schlaeger drehen,
170.739,166.845,1,Vorhand,
179.453,175.559,1,Vorhand,
184.140,180.246,1,Vorhand,
189.446,185.552,1,Vorhand,
192.932,189.038,1,Vorhand,
199.400,195.506,1,Vorhand,
203.540,199.646,2,Rueckhand,
207.670,203.776,2,Rueckhand,
210.602,206.708,8,Schlaeger drehen,
216.941,213.047,8,Schlaeger drehen,
225.031,221.137,10,Unsicher,
244.380,240.486,7,Kein Schlag / Other,
262.442,258.548,6,Aufschlag von unten,
267.238,263.344,8,Schlaeger drehen,
272.778,268.884,1,Vorhand,
277.855,273.961,1,Vorhand,
281.320,277.426,6,Aufschlag von unten,
285.148,281.254,2,Rueckhand,
289.289,285.395,2,Rueckhand,
293.087,289.192,1,Vorhand,
296.834,292.940,1,Vorhand,
302.364,298.470,6,Aufschlag von unten,
306.112,302.218,10,Unsicher,
307.038,303.144,7,Kein Schlag / Other,
311.904,308.010,6,Aufschlag von unten,
316.981,313.087,1,Vorhand,
320.769,316.875,1,Vorhand,
326.178,322.284,6,Aufschlag von unten,
330.762,326.868,1,Vorhand,
334.429,330.535,4,Slice Rueckhand,
336.182,332.288,9,Schwung ohne Ball,
341.712,337.818,2,Rueckhand,
351.534,347.640,1,Vorhand,
356.293,352.399,4,Slice Rueckhand,
401.720,397.826,6,Aufschlag von unten,
406.475,402.581,1,Vorhand,
409.467,405.573,4,Slice Rueckhand,
412.390,408.496,8,Schlaeger drehen,
418.362,414.468,1,Vorhand,
422.754,418.860,1,Vorhand,
426.421,422.526,2,Rueckhand,
430.843,426.949,1,Vorhand,
434.842,430.948,2,Rueckhand,
437.985,434.091,6,Aufschlag von unten,
441.229,437.335,6,Aufschlag von unten,
444.896,441.002,1,Vorhand,
452.352,448.458,6,Aufschlag von unten,
463.491,459.597,1,Vorhand,
466.916,463.022,1,Vorhand,
470.624,466.730,1,Vorhand,
474.421,470.527,1,Vorhand,
479.760,475.866,1,Vorhand,
484.807,480.913,3,Slice Vorhand,
489.179,485.285,1,Vorhand,
493.058,489.164,3,Slice Vorhand,
498.387,494.493,2,Rueckhand,
499.142,495.248,7,Kein Schlag / Other,
504.421,500.527,1,Vorhand,
508.299,504.405,1,Vorhand,
518.383,514.489,10,Unsicher,
525.338,521.444,1,Vorhand,
